stop_name,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ISOLA DEL CANTONE,10.0,7.0,6,9,6,6,3,44.646589,8.957578
ISOLA DELLE FEMMINE,0.532459226095299,0.0,71,3127,163,38,11,38.194784,13.250188
ISTRANA,0.7174657534246576,0.0,55,3504,274,112,60,45.676539,12.102781
LA GIUSTINIANA,2.47463689572946,2.0,154,9226,1845,632,113,41.985243,12.403457
LA STORTA,1.8486869101354124,1.0,163,9748,1482,516,119,42.001748,12.381254
LABICO,2.5048513302034427,2.0,55,3195,615,274,69,,
LAMEZIA TERME SAMBIASE,3.4390794223826715,2.0,38,2216,638,333,51,38.959927,16.284962
LANZARA FIMIANI,5.0,5.0,1,1,1,0,0,40.769685,14.68115
LATINA,2.6556545409552093,0.0,156,8082,1976,1331,668,41.538372,12.945888
LATISANA LIGNANO B.,1.5610310841546626,1.0,55,3957,575,327,140,45.777733,13.001101
LAVENO MOMBELLO,3.3195521102497847,2.0,34,2322,765,452,130,45.903272,8.624583
LAVIS,10.057692307692308,9.0,23,52,42,34,23,46.148306,11.095993
LEGNAGO,2.3786242183058555,2.0,30,1759,342,141,54,45.189034,11.304724
LICATA,5.25,4.0,6,384,228,158,35,37.106024,13.938114
LIDO DI LAVINIO,2.228038507821901,1.0,58,3324,514,223,80,41.500599,12.625926
LIMONE,-2.2245657568238215,-3.0,20,806,27,20,10,44.203799,7.577912
LIVORNO CENTRALE,1.9932842567480304,1.0,136,7743,1822,1091,433,43.55406,10.336593
LOCRI,3.7380250552689755,2.0,42,2714,957,601,218,38.233154,16.264787
LOMELLO,3.5583464154892726,3.0,28,1911,683,350,84,45.117276,8.799121
LONIGO,12.5,10.0,7,8,8,8,3,45.413269,11.345016
LUINO,4.4653878231859885,3.0,17,1199,531,305,72,45.996643,8.737464
LUNI,5.2,3.0,7,15,6,6,2,,
L`AQUILA,0.8339898705683737,0.0,33,1777,253,107,37,42.351055,13.384959
MAGLIANO CRAVA MOROZZO,-0.13964313421256788,-1.0,18,1289,56,35,13,44.445259,7.777852
MANDELLO DEL LARIO,4.161956034096007,2.0,79,4458,1521,950,386,45.915208,9.322061
MANIAGO,-2.1480804387568555,-2.0,11,547,4,4,3,46.170057,12.714527
MANTOVA FRASSINE,0.647189349112426,0.0,23,1352,108,52,24,45.150491,10.831007
MARANO TICINO,2.567279767666989,2.0,14,1033,170,63,22,45.629485,8.626172
MARAUSA,0.7688564476885644,0.0,19,1233,125,61,27,37.92647,12.504113
MARCELLINA-PALOMBARA,1.8600388780894197,1.0,56,3601,666,284,76,41.999609,12.79134
MARINA DI MARATEA,8.0,9.0,2,3,2,2,1,39.959512,15.735953
MARSALA,1.422051282051282,1.0,31,1950,391,182,79,37.793514,12.443174
MARTINSICURO,4.0,4.0,1,1,1,0,0,,
MASI TORELLO,0.5985626283367557,0.0,18,974,91,42,19,,
MELE,5.069204152249135,3.0,23,1734,859,566,206,44.472797,8.733953
MELITO DI PORTO SALVO,1.658978102189781,0.0,54,3425,621,412,181,37.916732,15.780816
MELZO,2.426440677966102,1.0,107,7375,1819,1229,402,45.502191,9.420653
MELZO SCALO,32.0,32.0,1,1,1,1,1,,
MERANA,5.312632321806634,5.0,23,1417,915,555,70,44.519368,8.298327
MERANO MAIA BASSA,1.9210813762971055,1.0,50,3662,724,249,43,46.656202,11.147931
MERGOZZO,3.286466165413534,2.0,32,1330,354,220,97,45.961303,8.440881
MERONE,0.009726443768996961,0.0,50,3290,1,1,1,45.781374,9.243772
MEZZANO,2.6832326985601487,2.0,34,2153,434,168,60,44.463,12.098501
MI.P.GENOVA,1.2459634015069967,-1.0,30,1858,372,241,145,45.453379,9.169303
MIGLIARINO,1.3590534979423867,1.0,18,972,92,37,17,,
MILANO CENTRALE,3.9817121548714693,2.0,374,25208,8684,5603,2731,45.486347,9.204528
MILANO NORD DOMODOSSOLA,0.0016475670925932707,0.0,428,27313,0,0,0,,
MILANO ROGOREDO,2.587155071900505,1.0,498,30876,8738,5400,2081,45.433866,9.2391
MILANO ROMOLO,17.0,24.0,2,3,2,2,2,45.445008,9.168933
MILANO VENEZIA,4.301188786373315,3.0,384,22544,9798,5588,1726,45.471121,9.201889
MIRADOLO TERME,5.3902838427947595,4.0,22,1832,1087,680,143,45.162007,9.449952
MIRTO CROSIA,4.914835164835165,4.0,21,1456,775,475,136,39.604876,16.777366
MODANE,8.506493506493506,1.0,4,77,34,33,27,,
MODENA,2.875977653631285,1.0,202,13425,3971,2751,1330,44.654461,10.930373
MODENA PIAZZA MANZONI,0.15472387037882246,0.0,40,2191,64,31,8,,
MODUGNO,4.300667222685571,6.0,36,4796,2430,2410,180,,
MOLA DI BARI,2.4135585783238263,1.0,96,4558,1041,551,203,41.057227,17.080919
MOLARE,3.0,3.0,1,1,0,0,0,44.621975,8.609904
MOMBARUZZO,0.8223615464994776,0.0,16,957,59,32,10,44.76235,8.441006
MONEGLIA,14.375,10.0,15,16,14,13,8,44.242449,9.486957
MONFALCONE,1.3038817775002602,0.0,158,9609,1346,713,279,45.807683,13.542929
MONTAGNANA,2.4921241050119334,2.0,36,2095,569,206,48,45.228238,11.459873
MONTALE AGLIANA,30.428571428571427,10.0,7,7,7,7,3,43.912924,11.008309
MONTANARO,2.0458333333333334,2.0,43,2160,443,181,68,45.232674,7.858331
MONTEBELLUNA,1.6097087378640778,1.0,74,3090,410,128,51,45.776434,12.054
MONTECARLO SAN SALVATORE,3.3319648093841643,3.0,54,1705,717,434,133,43.850798,10.68537
MONTECATINI CENTRO,7.1682158240761735,6.0,124,4411,3425,2678,837,43.881216,10.77081
MONTECHIARO DENICE,3.7918136908962596,3.0,23,1417,631,335,55,44.600827,8.352185
MONTECORVINO,10.818181818181818,8.0,9,11,11,10,3,40.617439,14.944628
MONTEMAGGIORE,2.8409495548961425,2.0,26,1685,454,242,89,37.859037,13.693193
MONTEMARCIANO,3.9823100936524454,2.0,29,1922,701,511,187,43.651397,13.346478
MONTENERO PETACCIATO,1.7079037800687284,1.0,20,1455,221,119,34,42.033286,14.851015
MONTEPESCALI,2.48036858974359,1.0,37,2496,581,316,124,42.869518,11.068743
MONTEPULCIANO,2.7975622681505032,2.0,37,1887,582,267,55,43.135353,11.856865
MONTI TELTI,1.2438391699092088,1.0,22,771,142,56,16,40.829632,9.322814
MONTICELLO D`ALBA,0.8034188034188035,0.0,19,1287,65,36,19,44.703736,7.965002
MONTIRONE,3.8964646464646466,2.0,24,1980,695,446,200,45.451352,10.239482
MONTJOVET,10.0,4.0,1,2,2,1,1,45.704586,7.666871
MONZA,2.729675029594837,2.0,395,26187,7016,3812,1291,45.577789,9.273253
MONZA SOBBORGHI,2.8899430740037952,2.0,40,3162,840,392,85,45.582082,9.284375
MORANO SUL PO,2.0599352051835855,1.0,29,1852,445,246,55,45.170793,8.366168
MORI,10.722222222222221,9.0,14,18,18,14,9,45.861216,11.002648
MORTARA,3.144249049429658,2.0,83,4208,1354,779,272,45.252171,8.731639
MOTTA SAN GIOVANNI LAZZARO,15.5,4.0,2,2,2,1,1,37.976978,15.659977
MULINETTI,4.666666666666667,4.0,1,3,2,1,0,44.362614,9.129499
MURATELLA,2.7005049442457394,2.0,156,9506,2217,709,134,41.826182,12.412696
NAPOLI MERGELLINA,8.294117647058824,6.0,28,34,22,19,10,40.831531,14.218662
NAPOLI MONTESANTO,8.605263157894736,6.0,32,38,22,21,7,40.847807,14.244022
NAPOLI PIAZZA LEOPARDI,0.48197384977296354,0.0,236,18279,1538,805,297,40.82397,14.199117
NAPOLI S.GIOV.BARRA,0.18721296713192256,0.0,153,11105,731,342,137,40.831269,14.307811
NARNI AMELIA,1.5,0.0,7,14,3,2,0,42.53128,12.519592
NAVACCHIO,2.7591087021981333,2.0,56,3321,1038,537,105,43.685941,10.486806
NERA MONTORO,1.3333333333333333,1.0,1,6,0,0,0,42.497855,12.476587
NETTUNO,0.3576598311218335,0.0,31,1658,112,64,34,41.459558,12.662123
NOCERA TIRINESE,2.0,2.0,1,1,0,0,0,39.015913,16.119677
NOCERA UMBRA,2.437449556093624,1.0,18,1239,306,191,76,43.100663,12.767207
NOGARA,2.7539358600583093,2.0,57,3430,1073,638,241,45.179937,11.070572
NOTO,1.9297912713472485,1.0,19,1054,179,112,50,36.88247,15.074523
NOVELLARA,-0.24232081911262798,-1.0,26,1172,96,45,21,,
OCCHIOBELLO,3.728307254623044,2.0,10,703,263,151,36,44.899384,11.621197
ODERZO,0.34375,0.0,23,1600,141,65,21,45.775304,12.49293
OFFIDA CASTEL DI LAMA,1.4673433362753752,1.0,49,2266,343,151,53,42.862074,13.720285
OLCIO,3.979990471653168,2.0,27,2099,786,450,146,45.938011,9.313898
OMIGNANO SALENTO,3.55622060709705,2.0,37,2339,806,541,204,40.252688,15.134406
ORIOLO,2.9379029521547335,2.0,57,2947,1060,402,79,42.166825,12.138499
ORISTANO,0.2947630922693267,-1.0,43,2005,280,172,91,39.902033,8.603974
ORNAVASSO,3.310027598896044,2.0,17,1087,307,162,44,45.970296,8.415892
ORSAGO,3.6666666666666665,5.0,3,3,2,1,0,45.928068,12.434259
ORTONA,2.303244837758112,1.0,23,1695,414,202,58,42.354196,14.407698
ORVIETO,4.523097374543037,2.0,51,3009,1085,695,352,42.723379,12.127412
OSCHIRI,1.5852941176470587,1.0,30,1360,165,99,43,40.713273,9.107749
OSPEDALETTO EUGANEO,2.2151717557251906,1.0,36,2096,384,177,55,45.221706,11.606553
OSPITALETTO MANTOVANO,6.285714285714286,4.0,6,476,256,182,89,45.129748,10.604406
OSTUNI,3.637071272196546,2.0,94,4111,1326,774,274,40.752356,17.580809
OTTAVIA,2.340347071583514,2.0,154,9220,1638,545,114,,
OZZANO DELL'EMILIA,5.631900212314225,4.0,63,3768,2318,1349,367,44.450797,11.487297
P.C.CANARO,2.1931818181818183,1.0,7,440,110,85,13,44.923012,11.675223
P.M. BADESSE,1.9115116755428103,1.0,42,2441,500,263,61,43.382144,11.277136
PADERNO DUGNANO,0.21060626985223035,0.0,131,7241,138,53,12,,
PADOVA,0.8460115502616856,0.0,383,22164,3571,2006,887,45.417846,11.880794
PAGANICA,1.0292911540714704,1.0,35,1707,167,52,12,42.334751,13.464317
PALAZZOLO VERCELLESE,3.6606948968512487,3.0,29,1842,676,319,89,45.189004,8.232787
PALERMO NOTARBARTOLO,-1.0642235123367199,-1.0,144,8268,96,49,25,38.132261,13.341572
PALIZZI,2.1485380116959063,1.0,14,855,202,101,29,37.91881,15.986405
PALMA S.GENNARO,4.793681187170895,3.0,33,2089,991,578,181,40.864149,14.540472
PANTANELLA,3.076982892690513,3.0,39,2572,1179,403,25,,
PARCO LEONARDO,2.643330876934414,2.0,156,9499,2331,676,134,41.79932,12.29543
PARGHELIA,4.01782363977486,3.0,18,1066,492,211,38,38.683341,15.925042
PARTINICO,3.327058823529412,2.0,16,850,228,114,60,38.05857,13.108956
PERAROLO DI CADORE,1.8074921956295527,1.0,24,961,189,58,10,46.386277,12.352493
PERUGIA PONTE S.GIOVANNI,6.222222222222222,3.0,9,9,4,4,2,43.091801,12.438239
PESARO,4.234550561797753,2.0,106,7120,2545,1793,948,43.906014,12.904848
PESCINA,2.8475836431226766,1.0,8,269,63,35,13,42.037564,13.668981
PESCOCANALE,6.428571428571429,0.0,6,7,2,2,2,41.9589,13.391624
PESSIONE,2.479369842460615,2.0,33,2666,521,183,26,44.965132,7.841321
PETTENASCO,3.500430663221361,2.0,18,1161,367,204,52,45.820498,8.406802
PIADENA,5.574509803921568,4.0,56,4590,2522,1601,503,45.127608,10.369962
PIAN DEL MUGNONE,2.938294010889292,3.0,8,551,165,39,7,43.813899,11.265994
PIANA,3.86803105151729,2.0,23,1417,558,419,57,44.486383,8.308796
PIANEROTTOLO DI ARIANO,27.0,27.0,1,1,1,1,1,41.188984,15.145482
PIANO D`ORTA BOLOGNANO,4.700361010830325,4.0,10,554,381,121,9,42.254455,13.951514
PIANORO,0.626831370295892,-1.0,68,3481,343,194,62,44.380589,11.340675
PIANZANO,7.428571428571429,5.0,5,7,6,3,1,45.913397,12.388168
PICERNO,3.319761668321748,1.0,19,1007,325,246,72,40.640122,15.641612
PIEDIMONTE-V.S.L.-AQUINO,1.429575402635432,1.0,71,3415,313,174,80,,
PIETRAGALLA,3.4579908675799085,2.0,32,2190,674,348,72,40.753314,15.79211
PIEVE EMANUELE,6.5625,7.0,13,16,13,12,3,,
PIEVE LIGURE,9.857142857142858,11.0,7,7,6,6,4,44.372644,9.090975
PIGNATARO MAGGIORE,12.733333333333333,12.0,11,15,13,11,9,41.17384,14.160545
PINEROLO OLIMPICA,4.186344238975818,3.0,46,3515,1306,663,151,44.893325,7.349043
PISTOIA OVEST,0.6831194471865746,0.0,12,1013,59,21,10,,
PIZZIGHETTONE,4.799554565701559,3.0,12,449,203,121,42,45.181772,9.777133
PIZZO,3.3320825515947465,2.0,18,1066,381,208,36,38.726323,16.150615
POGGIO MIRTETO,-0.09319196428571429,-1.0,74,3584,173,85,38,42.242187,12.633043
POLICASTRO BUSSENTINO,3.150462962962963,1.0,40,2592,668,428,161,40.076482,15.528438
POLLENZA,18.0,0.0,2,2,1,1,1,43.240933,13.367031
PONT SAINT MARTIN,2.061974462784179,1.0,82,3211,806,457,152,45.589834,7.795024
PONTE A ELSA,1.1700251889168767,1.0,35,2382,272,116,37,43.694385,10.906008
PONTE DELLA VENTURINA,2.156530408773679,2.0,12,1003,237,73,11,44.128589,10.990756
PONTECCHIO MARCONI,2.5728155339805827,2.0,5,412,105,25,3,44.42294,11.26919
PONTECURONE,3.482441923284711,3.0,36,1851,667,357,93,44.962014,8.929717
PONTELAGOSCURO,3.5007112375533427,2.0,10,703,238,141,35,44.873216,11.612526
PONTENURE,3.315966386554622,2.0,8,595,136,87,36,45.001687,9.792103
PORCARI,4.648846370287001,4.0,52,1777,1005,648,94,43.831263,10.619212
PORTO S. GIORGIO FERMO,3.1384379113646337,2.0,82,4558,1469,934,313,43.17972,13.7975
POSTIOMA,2.389248382279741,2.0,55,2009,310,85,20,45.715862,12.148248
POTENZA CENTRALE,0.7017200938232995,-1.0,39,2558,367,240,131,40.629469,15.806808
POTENZA SUPERIORE,0.8447681103871215,0.0,38,2609,227,125,54,40.64586,15.800966
PRAJA AJETA TORTORA,3.5950446791226645,1.0,41,2462,792,560,227,39.900832,15.780628
PRATO BORGONUOVO,40.2,14.0,5,5,5,4,4,43.893216,11.076222
PRATOLA PELIGNA SUPERIORE,3.624559341950646,6.0,35,1702,922,865,42,42.080415,13.87223
PRIMOLANO,3.0860692102928127,3.0,15,1127,384,134,15,45.965315,11.700899
QUATTRO VENTI,1.8964708391086469,1.0,158,9379,1328,464,119,41.880145,12.459731
QUATTRO VILLE,0.9919669995657837,1.0,60,4606,437,222,72,,
QUERO VAS,2.4886274509803923,2.0,27,1275,192,72,18,45.939306,11.920189
RACCONIGI,1.5150375939849625,1.0,58,3458,465,197,56,44.771179,7.685681
RAGUSA IBLA,1.3333333333333333,-1.0,1,3,1,1,0,36.93133,14.750993
RAPOLANO TERME,3.0,2.0,36,1736,560,258,56,43.283331,11.602504
RAVENNA,2.6869653767820774,1.0,68,4910,1269,819,396,44.419155,12.208404
RECALE,6.5,3.0,9,10,5,5,4,41.06235,14.30323
REGGIO DI CALABRIA BOCALE,4.0,4.0,1,1,1,0,0,,
REGGIO DI CALABRIA PELLARO,1.1578947368421053,1.0,45,3021,333,135,25,38.02561,15.650064
REGGIO DI CALABRIA S.CATERINA,2.25,1.0,4,4,1,0,0,,
REGGIO DI CALABRIA S.GREGORIO,0.35805860805860806,0.0,33,2184,127,49,8,38.061274,15.652053
REGGIO EMILIA AV,5.957561106634435,4.0,48,3723,2030,1486,613,44.779886,10.744171
REMEDELLO SOTTO,8.282971197574533,7.0,24,1979,1630,1210,397,45.257477,10.388402
RESANA,7.0,7.0,1,1,1,1,0,45.634081,11.964251
RESCALDINA,0.7009793253536453,0.0,85,4595,259,84,24,,
RIETI,2.853891670459718,2.0,37,2197,733,300,76,42.405918,12.862596
RIGOLI,1.5964718853362734,1.0,16,907,190,93,15,43.789681,10.419663
RIGOROSO,6.0,6.0,1,1,1,1,0,44.670577,8.896487
RIMINI TORRE PEDRERA,3.39651596847781,1.0,44,2411,430,308,178,44.106987,12.508755
RIO DI PUSTERIA,0.9939117199391172,1.0,10,657,29,10,2,46.79712,11.670028
RIOMAGGIORE,9.0,6.0,23,27,18,15,3,44.105203,9.729105
RIONERO ATELLA RIPACANDITA,2.902981940361193,2.0,35,2381,821,457,91,40.922066,15.678699
ROBECCO-PONTEVICO,2.6712436249509612,2.0,32,2549,819,395,112,45.266224,10.078593
ROBILANTE,0.22659176029962547,0.0,36,1602,94,39,16,44.296496,7.510906
ROCCA D`EVANDRO,3.8169267707082835,3.0,29,1666,630,393,145,41.438861,13.911338
ROCCALUMERA MANDANICI,2.979431929480901,1.0,37,2042,600,367,114,37.972946,15.391411
ROCCASECCA,0.5389940009229349,0.0,83,4334,372,225,104,41.526377,13.645814
ROCCHETTA TANARO CERRO,1.6086547507055504,1.0,21,1063,156,61,20,44.875574,8.351402
RODALLO,1.8884036875303252,1.0,34,2061,379,187,66,45.278714,7.878025
ROMA AURELIA,1.1981556455240665,1.0,68,4446,596,260,79,41.88344,12.395271
ROMA CASILINA,37.833333333333336,7.0,5,6,4,4,3,41.87669,12.537297
ROMA S.FILIPPO NERI,1.49550622631294,1.0,154,9235,1216,423,99,41.950262,12.412414
ROMA TRASTEVERE,2.5918458117123797,2.0,435,26980,6985,2683,469,41.872279,12.466162
ROMA TUSCOLANA,0.7905959835888577,0.0,325,18524,1989,842,247,41.879384,12.523505
ROMAGNANO SESIA,-9.0,-14.0,2,2,0,0,0,45.629888,8.384581
ROMANO,2.46021007655332,1.0,76,5617,1341,833,346,45.523839,9.753402
ROMETTA MESSINESE,1.1946360153256705,1.0,40,2610,300,138,30,38.228455,15.405894
ROSA`,0.75,1.0,4,4,0,0,0,45.72054,11.775799
ROSIGNANO,2.482468849608809,1.0,62,3451,863,527,188,43.387899,10.438041
ROSSIGLIONE,3.027808676307008,2.0,24,1798,595,297,97,44.566955,8.668051
ROVIANO,1.041077441077441,0.0,23,1485,210,123,50,42.026476,12.991119
ROVIGLIANO,4.5,3.0,1,2,1,1,0,,
RUSSI,4.250198360222163,3.0,54,3781,1530,856,331,44.379011,12.03164
S. AMBROGIO,2.3070097604259097,1.0,46,3381,552,272,71,45.101161,7.360933
S. ANTONINO DI SALUGGIA,3.657648794884407,2.0,34,2033,745,433,112,45.253967,8.039728
S. CASSIANO VALCHIAVENNA,1.5917808219178082,1.0,33,2555,496,193,51,46.275438,9.397419
S. CRISTINA E BISSONE,5.3741125068268705,4.0,22,1831,1085,676,141,45.160533,9.401006
S. DONA` DI PIAVE,2.19087708556559,1.0,88,6533,1293,629,202,45.63983,12.559791
S. EUROSIA,2.079408330089529,1.0,64,2569,305,162,69,41.675927,12.755105
S. GENNARO,2.549174690508941,1.0,70,2908,500,250,92,,
S. GIACOMO DI TEGLIO,2.4272445820433437,2.0,5,323,59,40,17,46.159722,10.027405
S. GIOVANNI IN CROCE,5.0661538461538465,4.0,33,2600,1328,884,275,45.075783,10.377527
S. MARIA DELLE MOLE,4.731481481481482,4.0,80,3564,1914,959,224,41.774417,12.606225
S. PIETRO A VICO,3.1483198146002316,2.0,29,1726,573,285,80,43.875094,10.530945
S. PIETRO BERBENNO,3.651149425287356,2.0,21,1740,670,371,110,46.161347,9.740491
S. PIETRO VERNOTICO,9.4,9.0,5,5,5,5,2,40.48902,18.000716
S. STINO DI LIVENZA,1.8740313272877165,1.0,79,6065,927,482,153,45.721088,12.682769
S. ZENO FOLZANO,3.3072835953066195,2.0,55,4517,1082,573,265,45.491552,10.211683
S. ZENONE AL LAMBRO,32.0,32.0,1,1,1,1,1,45.337824,9.36126
S.AGAPITO LONGANO,-0.5,-1.0,1,2,0,0,0,,
S.AGATA M.,1.172869886188865,-1.0,57,3251,636,414,202,38.073554,14.640622
S.ANDREA DELL`JONIO,11.0,11.0,1,1,1,1,1,38.620097,16.553449
S.BENEDETTO DEL TRONTO,3.946287253746422,2.0,103,5939,2263,1405,588,42.954386,13.882297
S.BIAGIO DI CALLALTA,0.47095565271705186,0.0,23,1601,127,77,23,45.686134,12.374316
S.CASSIANO,4.270370370370371,3.0,19,1350,675,362,63,44.143684,11.687503
S.CATERINA DELL`JONIO,3.626237623762376,3.0,9,404,197,159,29,38.530452,16.571093
S.CRISTOFORO AL LAGO-ISCHIA,3.88566953797964,3.0,17,1277,558,274,27,46.039743,11.23375
S.ELENA - ESTE,1.819026790595954,1.0,29,1829,443,220,44,45.199209,11.712883
S.FLAVIA,4.333333333333333,4.0,3,3,3,0,0,38.0826,13.530625
S.GIORGIO P.,3.2248201438848922,2.0,52,3336,1042,632,204,44.646641,11.37901
S.GIULIANO TERME,1.3947878526814559,1.0,82,4643,761,394,110,43.764895,10.436892
S.ILARIO,3.1504900411002215,2.0,45,3163,935,534,196,44.765795,10.450469
S.LIBERATO,2.0,2.0,1,6,1,0,0,42.478853,12.443006
S.LORENZO COLLI,0.5150488339645206,0.0,71,5017,152,60,20,38.16292,13.316449
S.LORENZO MAGGIORE,4.032341526520052,2.0,16,773,298,218,105,41.219748,14.648419
S.MARCELLINO FRIGNANO,3.294411828658404,1.0,78,4599,1252,912,395,40.992103,14.171976
S.MARIA CAPUA VETERE,3.4203056768558953,2.0,47,2748,927,506,162,41.07353,14.254081
S.MARTINO DI LUPARI,4.888888888888889,6.0,7,9,7,5,0,45.655928,11.857227
S.MARTINO IN GATTARA,5.149220489977728,4.0,20,1347,841,476,76,44.113211,11.667077
S.MICHELE IN BOSCO,6.304621848739496,4.0,6,476,254,182,89,45.122404,10.57329
S.NAZARIO,2.426156583629893,2.0,15,1124,195,46,13,45.838117,11.691321
S.NICOLA T.,6.857142857142857,6.0,6,7,5,4,2,38.015817,13.612755
S.STEFANO LODIGIANO,8.0,8.0,1,1,1,1,0,45.122091,9.723606
S.VITO AL TAGLIAMENTO,2.2422802850356294,2.0,26,1684,530,170,9,45.912433,12.851594
S.VITO LANCIANO,2.388888888888889,1.0,22,1620,400,212,61,42.307401,14.448093
SACILE,0.7938349353662578,0.0,105,6034,844,471,172,45.948413,12.498498
SALANDRA,5.284848484848485,4.0,4,330,174,113,36,40.583446,16.351564
SALETTO,1.7873152122079161,1.0,36,2097,452,171,43,45.22274,11.535093
SALICETO,1.7605202754399387,1.0,18,1307,119,52,25,44.404437,8.172887
SALINE DI REGGIO,1.6501386962552012,1.0,43,2884,340,130,29,37.938677,15.710664
SALUGGIA,3.35752688172043,2.0,38,2232,732,389,98,45.23443,8.017112
SAMOGGIA,3.667304015296367,2.0,45,3138,1016,681,270,44.567307,11.146221
SAMPIERI,2.843358395989975,1.0,14,798,215,123,49,36.73188,14.744577
SAN GAVINO,0.5,-1.0,70,3322,433,269,128,39.546206,8.788017
SAN GIORGIO DI NOGARO,1.280143971205759,0.0,45,3334,458,254,106,45.82917,13.210315
SAN LEONARDO DI CUTRO,3.0,2.0,1,2,1,0,0,38.954221,16.964409
SAN MARCO D`ALUNZIO T.,2.291857798165138,1.0,27,1744,295,124,33,38.094202,14.675909
SANFRE`,1.8313432835820895,0.0,37,2680,438,204,55,44.74799,7.796793
SANTA DOMENICA,3.463849765258216,2.0,18,1065,333,160,38,38.663764,15.859822
SANTA TERESA DI RIVA,2.7036334913112166,1.0,52,3165,955,589,193,37.946295,15.367682
SANTHIA`,2.001783060921248,1.0,103,6730,1369,721,221,45.363726,8.180093
SANTO STEFANO DI CAMASTRA,1.0190514795297934,-1.0,44,2467,315,210,95,38.01778,14.35104
SARZANA,2.710871104815864,2.0,94,5648,1734,1033,330,44.108865,9.960657
SASSA TORNIMPARTE,1.3572327044025156,1.0,27,1590,176,84,33,42.360549,13.295333
SASSARI,1.277602523659306,1.0,25,1268,220,97,42,40.729506,8.554157
SASSONE,3.0504462553356615,3.0,39,2577,816,264,27,41.783777,12.625832
SAVIGNANO SUL RUBICONE,3.8307138179436806,2.0,42,3054,999,601,190,44.095191,12.40421
SCAFATI,1.875831485587583,1.0,68,4961,979,456,179,40.746028,14.523253
SCHIO,-2.032863849765258,-3.0,17,1278,67,46,20,45.710848,11.355508
SCHIVENOGLIA,3.0216010165184244,1.0,14,787,212,127,56,,
SCILLA,7.5,4.0,2,2,2,1,1,38.251202,15.710886
SCORCETOLI,5.412280701754386,4.0,3,114,67,42,7,44.34431,9.911853
SELLIA MARINA,3.0,3.0,1,1,0,0,0,38.903666,16.764788
SENIGALLIA,3.0693290087168053,2.0,77,4933,1524,987,337,43.716277,13.221652
SERENELLA,3.170165252344797,3.0,31,2239,736,249,29,,
SERRAVALLE,6.8,5.0,4,5,3,2,1,45.808184,11.014942
SERRAVALLE PISTOIESE,3.876571428571429,3.0,31,1750,735,416,129,43.908016,10.85168
SESTRI LEVANTE,0.5757410189864772,-1.0,120,7321,1521,945,361,44.27626,9.397651
SETTEQUERCE,4.097613110081938,4.0,37,2807,1500,638,43,46.508448,11.264785
SETTIMO,2.3636036684049633,2.0,81,5561,1285,553,93,45.139834,7.769335
SETTIMO TAVAGNASCO,21.818181818181817,8.0,8,11,8,7,5,45.546214,7.825189
SIENA,0.38892831795599714,-1.0,70,4227,520,234,105,43.331708,11.322972
SIENA ZONA INDUSTRIALE,8.0,8.0,1,1,1,1,0,43.26528,11.376652
SILIQUA,0.13879598662207357,-1.0,54,2990,214,114,58,39.297005,8.813078
SIPICCIANO,2.1658456486042694,1.0,18,1218,221,115,40,42.546495,12.254318
SOFFRATTA,3.1542404473438954,2.0,35,2146,555,284,68,45.976377,12.299346
SOLIGNANO,10.825396825396826,7.0,30,63,45,38,25,44.614024,9.98014
SOLOPACA,4.647773279352227,3.0,24,1235,563,437,191,41.210521,14.571413
SONDRIO,4.134434726271461,2.0,61,3087,1071,716,300,46.167064,9.872928
SPELLO,2.771088322858088,2.0,46,3023,878,462,115,42.9844,12.668884
SPINET.V.S.PIO X,6.0,6.0,1,1,1,1,0,,
SPOLETO,2.991129509166174,1.0,56,3382,970,636,292,42.748121,12.736142
SPRESIANO,1.7476485432438633,1.0,71,4359,712,330,112,45.77763,12.266984
STABIO,0.26463104325699743,-1.0,38,2751,195,106,44,,
STRADA CASALE,5.20627802690583,5.0,3,223,139,91,13,44.183511,11.697496
STRESA,3.7513706140350878,2.0,88,3648,1393,896,323,45.884486,8.531454
STREVI,4.207920792079208,4.0,21,1313,714,332,47,44.697771,8.525525
SU CANALE,3.258660508083141,2.0,10,433,151,79,11,40.838375,9.404226
TAGLIATA,0.0,0.0,1,1,0,0,0,,
TASSIGNANO,4.559082892416225,4.0,51,1701,948,608,89,43.834131,10.570495
TEANO,2.559375,1.0,48,2880,700,389,145,41.231804,14.077075
TEGLIO VENETO,4.5,2.0,2,2,1,1,0,45.809887,12.858938
TERONTOLA CORTONA,4.11327030812325,2.0,93,5712,2319,1344,494,43.210263,12.007906
TERZO MONTABONE,3.415666901905434,3.0,23,1417,553,281,43,44.671932,8.428705
THIENE,1.8859160163507989,1.0,37,2691,509,191,57,45.700697,11.475407
TITO,0.6376306620209059,-1.0,5,287,21,11,5,40.607321,15.698194
TOLENTINO,2.4871345029239764,2.0,37,1710,562,275,64,43.214556,13.290501
TOLLO CANOSA SANNITA,6.142857142857143,6.0,10,14,9,8,2,42.394208,14.339984
TORINO P.NUOVA,1.8365623889086384,1.0,191,11252,2208,1251,616,45.060969,7.67747
TORINO STURA,1.2691096178076438,1.0,141,9524,1484,617,116,45.121932,7.713202
TORRE DEL GRECO,1.4234299082238617,1.0,84,5557,836,435,165,40.787631,14.363159
