stop_name,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
CAVA CARBONARA,3.4137592137592137,3.0,26,2035,894,382,109
CAVALLERMAGGIORE,1.9646405118706853,1.0,94,5939,1062,471,170
CAVAZZALE,1.5775798069784708,2.0,37,2694,529,216,46
CECCANO,1.0191771269177128,0.0,60,2868,297,163,67
CECCHINA,2.833827093994075,2.0,83,3713,908,449,133
CELANO-OVINDOLI,1.1003460207612457,1.0,11,289,35,20,7
CENGIO,2.0188545001778726,1.0,35,2811,464,239,88
CERNUSCO-MERATE,3.1301369863013697,1.0,73,5548,1392,835,306
CETRARO,2.861656294877932,1.0,35,2089,445,260,106
CEVA,1.0544102737411287,0.0,37,2959,347,196,82
CHATILLON SAINT VINCENT,2.0228426395939088,1.0,82,3152,672,332,133
CHIARI,11.86111111111111,10.0,28,36,32,30,15
CHIASSO,-0.2434845999635502,-2.0,85,5487,777,493,209
CHIETI,1.299265410412009,1.0,53,3131,411,174,73
CHIVASSO,1.5429362880886426,1.0,179,10108,1766,812,296
CIAMPINO,1.2507825024811055,1.0,241,13099,1926,826,240
CIRO',5.577753182069729,4.0,25,1807,914,624,252
CISTERNINO,13.666666666666666,12.0,3,3,3,3,3
CITTA' DEL RAGAZZO,-0.3488843813387424,-1.0,9,493,29,19,6
CITTADUCALE,3.547159699892819,3.0,32,1866,762,352,74
CIVITA CASTELLANA,0.6067214873078298,0.0,58,2797,202,84,35
CLASSE,5.078431372549019,3.0,20,1275,490,323,134
COCULLO,0.9753521126760564,-1.0,10,284,47,35,18
COLFELICE,2.2,1.0,7,10,2,2,0
COLICO,3.2734671730873575,2.0,93,5529,1658,984,383
COLLE ISARCO,1.393970893970894,-1.0,53,3848,608,418,188
COLLE MATTIA,1.4921060470658325,1.0,58,3357,451,224,71
COLLECCHIO,3.012491325468425,2.0,59,2882,890,487,146
COLOGNE,5.5,5.0,4,4,3,2,1
COMISO,3.05456570155902,2.0,15,898,302,182,73
COMO NORD CAMERLATA,0.0008622547962923044,0.0,63,4639,0,0,0
CONTESSE,0.7958015267175572,0.0,14,1048,88,40,15
CORSICO,2.0,2.0,1,1,0,0,0
CRESPELLANO,2.147239263803681,2.0,46,2608,537,186,27
CRESSA FONTANETO,3.0721489526764936,2.0,20,1289,416,260,70
CROCICCHIE,10.68421052631579,4.0,13,19,10,8,5
CROPANI,3.9848024316109423,3.0,33,2303,840,492,170
CUZZAGO,3.095166163141994,2.0,32,1324,345,200,92
Cantello Gaggiolo,0.6742957746478874,0.0,71,3976,413,165,56
DEIVA MARINA,2.5726945444475215,1.0,62,3611,997,632,194
DESIO,3.62856165944837,2.0,171,8774,3052,1716,528
DIAMANTE BUONVICINO,3.827190043082815,2.0,34,2089,811,513,187
DOLO,1.0750178954903364,0.0,122,6985,769,453,150
DOMEGLIARA,4.9126944305067735,4.0,63,3986,2061,1404,534
DOMODOSSOLA,0.9067408376963351,-1.0,60,3056,685,496,209
DONNAFUGATA,2.1567291311754686,1.0,10,587,162,106,47
DUBINO,1.0165165165165164,0.0,36,2664,272,131,45
DUOMO VIA VERNIERI,5.25,1.0,7,8,4,3,1
FABRO-FICULLE,4.202059833251594,2.0,27,2039,701,409,187
FAGARE,2.29875,2.0,23,1600,275,112,30
FALCONARA MARITTIMA,1.5265536723163842,1.0,126,7965,1442,823,307
FANO,2.922072623419013,1.0,74,4902,1332,827,315
FARA SABINA,-0.48454845484548453,-1.0,118,6666,261,140,56
FELTRE,1.3034410844629822,1.0,48,1918,204,82,30
FEROLETO ANTICA PIANOPOLI,5.666666666666667,7.0,2,3,2,2,0
FERRUZZANO,2.887654320987654,1.0,12,810,222,134,54
FIGLINE VALDARNO,3.177378219841877,2.0,121,7842,2546,1452,432
FINO MORNASCO,0.0011049723756906078,0.0,61,4525,0,0,0
FIRENZE CASCINE,11.0,11.0,1,1,1,1,1
FISCIANO,1.7272167487684729,1.0,32,1624,310,152,44
FIUMARA GAZZI,2.0,2.0,1,1,0,0,0
FIVIZZANO ROMETTA - SOLIERA,3.400348634514817,2.0,28,1721,510,235,39
FOGGIA,3.907549630488335,1.0,123,6901,2389,1695,930
FONDI - SPERLONGA,2.6203233256351037,1.0,88,4330,1095,626,230
FONTANETTO PO,3.55261737722612,3.0,29,1853,686,341,89
FONTANIVA,1.0,1.0,1,1,0,0,0
FORLIMPOPOLI,3.6306753147653565,2.0,36,2621,773,500,188
FORMIGINE,2.216289592760181,2.0,20,1105,173,42,8
FORTE DEI MARMI SERRAVEZZA Q.,3.0864518711226734,2.0,85,4997,1623,893,249
FORTEZZA,2.0694701741385697,-1.0,81,5398,1326,903,418
FOSSACESIA - TORINO DI SANGRO,1.8450617283950617,1.0,22,1620,347,173,53
FRAMURA,2.982127160855552,2.0,57,3413,1094,690,220
FRANCAVILLA FONTANA,2.3239057239057237,1.0,22,1485,324,190,79
FRANCIA,0.5061770181079709,0.0,112,5909,160,63,26
FRATTE,1.7761467889908258,1.0,32,1635,304,144,46
GAGGIANO,11.5,4.0,2,2,2,1,1
GALLESE IN TEVERINA,1.8120162182086252,1.0,57,2713,318,106,40
GARBAGNATE MILANESE,2.4354622599374722,2.0,31,2239,500,155,23
GELA,2.0171526586620927,1.0,9,583,173,106,40
GENGA S.VITTORE TERME,2.2242370632463513,1.0,33,2261,551,258,81
GENOVA COSTA DI SESTRI PONENTE,8.5,3.0,2,2,1,1,1
GENOVA PEGLI,8.904761904761905,8.0,17,21,15,12,7
GENOVA PRA,7.0,8.0,33,44,29,28,10
GENOVA SESTRI PONENTE,1.288111354752598,1.0,186,10489,1322,696,256
GERENZANO - TURATE,0.001497454327643007,0.0,61,3339,0,0,0
GIAMPILIERI,0.7381921824104235,-1.0,39,2456,353,211,76
GIOIA DEL COLLE,0.5901084010840109,-1.0,48,2952,298,186,108
GIOIA TAURO,2.8702460850111855,0.0,78,4470,809,598,318
GIUGLIANO QUALIANO,2.0368864362474586,2.0,47,3443,427,137,42
GIUNCANO,7.85,1.0,10,20,7,5,3
GORGO AL MONTICANO,2.08072590738423,1.0,23,1598,242,93,27
GOZZANO,1.8897502153316106,1.0,18,1161,253,155,47
GRECCIO,3.2377577319587627,2.0,29,1552,537,219,60
GRICIGNANO,1.7832512315270936,1.0,37,2436,390,218,93
GRIGNO,2.883762200532387,2.0,15,1127,342,135,15
GRISOLIA S.MARIA,14.0,14.0,1,1,1,1,1
GRUGLIASCO,3.55,2.0,19,20,9,5,2
GUADAGNA,1.4383082838168473,1.0,109,5722,264,92,32
HONE BARD,2.300355149670218,2.0,59,1971,528,270,61
IL CIONFO BIN. LE CURE,1.6686131386861314,1.0,10,685,85,27,5
ISOLA DELLA SCALA,5.175084175084175,4.0,34,2079,1060,664,256
ISOLA LIRI,1.5,0.0,8,12,2,1,0
ITRI,2.062222222222222,1.0,45,2475,590,345,106
JOPPOLO,0.8696060037523452,0.0,18,1066,143,73,29
L'Aquila S. Gregorio,5.855603448275862,5.0,8,464,428,220,13
LA RUSTICA UIR,0.9250111259457053,0.0,69,4494,487,230,69
LAMA DI RENO,2.876376713868285,2.0,64,4449,1117,333,64
LAMBRINIA,5.047645125958379,4.0,22,1826,986,598,127
LANUVIO,1.5071448585037825,1.0,80,3569,530,283,103
LATERINA,3.239644970414201,2.0,57,3380,973,549,171
LAVAGNA,7.642857142857143,5.0,14,14,10,6,5
LECCE,2.0184105553850875,-1.0,64,3259,702,509,303
LECCO,2.6051097211915617,1.0,150,9433,2404,1444,583
LENTINI,3.9121076233183856,1.0,52,2230,687,500,266
LEONFORTE-PIRATO,2.9405940594059405,1.0,16,707,182,108,45
LERINO,5.333333333333333,4.0,3,3,2,1,0
LETOJANNI,2.8830255057167986,1.0,38,2274,625,385,140
LEVICO,3.5587774294670846,3.0,17,1276,526,228,26
LIDO DI CLASSE-LIDO DI SAVIO,3.41268758526603,1.0,53,2932,798,536,242
LODI,2.61,1.0,191,11500,3274,1934,762
LOLLI,1.3739598629466472,1.0,116,6129,365,115,34
LONATO,3.213636363636364,2.0,4,220,61,37,15
LUGO,5.138297872340425,3.0,45,3478,1733,1072,391
LUZZARA,0.05372217958557176,0.0,24,1303,67,31,16
M.N. AFFORI,0.0020902090209020904,0.0,153,9090,0,0,0
M.N. BRUZZANO,0.0008733624454148472,0.0,103,5725,0,0,0
M.N. QUARTO OGGIARO,0.0001645548790521639,0.0,70,6077,0,0,0
MACERATA UNIVERSITA',13.0,13.0,1,1,1,1,1
MACOMER,0.48054755043227665,-1.0,28,1388,189,138,78
MAGENTA,2.7295381548344224,2.0,142,9029,2374,1130,330
MALPENSA AEROPORTO T1,0.0004086636697997548,0.0,39,2447,0,0,0
MANAROLA,9.563636363636364,9.0,37,55,49,42,22
MANZIANA-CANALE MONTERANO,2.76612355736592,2.0,57,2946,1018,449,79
MARCIANISE,23.0,16.0,4,4,4,4,3
MARECHIARO,0.5482825664290344,0.0,55,3086,234,127,59
MARIANOPOLI,-1.0,-1.0,1,1,0,0,0
MARINA DI SAN LORENZO,2.608527131782946,2.0,11,774,184,81,23
MARONE - ZONE,0.003913894324853229,0.0,24,1022,0,0,0
MARRADI,3.979874213836478,3.0,23,1590,714,345,72
MARRUBIU TERRALBA ARBOREA,2.4405405405405407,1.0,45,1850,445,225,78
MASCALI,13.818181818181818,8.0,9,11,9,8,4
MASSA CENTRO,3.68621006967267,2.0,117,7607,2828,1710,549
MASSAFRA,16.833333333333332,19.0,5,6,4,4,4
MEDA,-0.0002824858757062147,0.0,53,3540,2,1,0
MEINA,4.3880484114977305,3.0,32,1322,572,411,167
MELFI,1.6098541980894923,1.0,30,1989,617,372,77
MERANO,2.154852780806979,1.0,26,1834,429,179,52
MERCATO SAN SEVERINO,1.1672597864768683,1.0,21,843,151,64,21
MESSINA CENTRALE,1.6342574257425742,0.0,94,5050,699,449,278
MESSINA MARITTIMA,22.427807486631018,10.0,11,187,115,97,80
MESTRINO,10.0,10.0,1,1,1,1,0
METAPONTO,2.992741935483871,0.0,17,1240,366,281,138
MIGLIARO,1.8053553038105046,1.0,18,971,100,41,18
MILANO AFFORI,2.0521108179419527,2.0,28,1516,280,115,22
MILANO GRECO PIRELLI,3.203245653879506,2.0,377,24217,7953,4510,1448
MILANO LAMBRATE,3.241045075246875,2.0,417,27443,8243,4828,1853
MILANO PORTA VITTORIA,2.2715671939385884,1.0,385,22569,6086,3589,1130
MILANO S. CRISTOFORO,0.7019024240564591,-1.0,120,6518,1127,718,317
MILANO VILLAPIZZONE,4.153759235115167,3.0,196,11505,4634,2421,623
MILETO,2.3654485049833887,1.0,4,301,47,25,11
MINUCCIANO - PIEVE - CASOLA,1.1006963042313873,1.0,30,1867,303,133,25
MIRA MIRANO,8.615384615384615,6.0,13,13,9,9,4
MIRAMARE,1.4522821576763485,1.0,47,2169,453,205,49
MODICA,1.8905263157894736,0.0,18,950,225,126,68
MOLFETTA,3.3998171368861025,2.0,151,7656,2302,1456,597
MOLTENO,2.5814069102659705,2.0,51,4023,1155,573,127
MONCALIERI SANGONE,3.9318053197509903,3.0,46,3534,1627,873,116
MONDOVI`,0.7878592185986438,0.0,39,3097,339,190,79
MONGARDINO,1.4815217391304347,1.0,16,920,70,33,11
MONGUELFO VALLE DI CASIES,0.6753048780487805,0.0,10,656,22,13,7
MONTE S.BIAGIO,2.48069590085796,1.0,85,4196,1035,596,215
MONTEBELLO,10.4,10.0,5,5,5,5,2
MONTECALVO BUONALBERGO CASALB.,27.333333333333332,28.0,1,3,3,3,3
MONTECOSARO,2.9272211720226844,2.0,46,2116,600,294,67
MONTELUPO CAPRAIA,10.364583333333334,8.0,55,96,82,67,28
MONTESANTO,2.89289055191768,2.0,33,2138,516,237,82
MONTESILVANO,2.1123790622674274,1.0,66,4031,828,480,120
MORNAGO CIMBRO,2.1037735849056602,1.0,32,2226,472,309,103
MOROLO,1.9773584905660377,1.0,50,2650,535,279,83
MOSCIANO S. ANGELO,5.7815186246418335,7.0,42,2792,1487,1434,697
MOTTA DI LIVENZA,0.689375,0.0,23,1600,125,66,19
MOTTA S. DAMIANO,2.3856209150326797,1.0,22,1836,463,261,89
MUSIANO-PIAN DI MACINA,2.2277970011534025,1.0,70,3468,600,296,70
NAPOLI AFRAGOLA,5.716325263811298,3.0,61,4833,2263,1790,944
NAPOLI PIAZZA GARIBALDI,7.942028985507246,7.0,54,69,48,41,18
NIBBIA,3.032863849765258,2.0,4,213,77,27,2
NICHELINO,4.635334088335221,4.0,46,3532,1985,1071,134
NIZZA DI SICILIA,3.6217672413793105,2.0,30,1856,592,352,107
NOVARA NORD,0.0020380434782608695,0.0,32,1472,0,0,0
NOVATE MILANESE,3.0616621983914207,3.0,31,2238,738,292,32
NUOVO SALARIO,1.57303712720633,2.0,167,9858,1162,467,132
OGGIONO,2.5322137404580154,2.0,41,3275,835,427,110
OLEGGIO,2.691619202603743,2.0,28,1229,300,92,24
OLEVANO,3.220159151193634,2.0,34,1885,572,278,68
OLGIATA,3.4023102720158986,3.0,136,8051,2691,836,117
OLIVERI TINDARI,1.8868445262189513,2.0,16,1087,288,120,19
OLMENETA,2.378470970068518,1.0,75,5546,1344,823,319
OLMI SPERCENIGO,2.753605015673981,2.0,23,1595,305,130,41
OMEGNA,1.6399655469422911,1.0,18,1161,217,118,27
ORIA,2.20280296784831,1.0,16,1213,249,119,48
ORSARA DI PUGLIA,73.0,58.0,1,2,2,2,2
ORTA MIASINO,1.9310938845822567,1.0,18,1161,257,149,34
ORTANOVA,3.2186723464678737,2.0,65,2817,839,464,151
OSIMO CASTELFIDARDO,19.5,6.0,1,2,2,2,1
OSPITALETTO TRAVAGLIATO,1.966281492706952,1.0,64,5279,941,496,164
OVADA,2.6206896551724137,1.0,24,1798,448,246,88
PAESTUM,5.705882352941177,4.0,7,17,9,8,3
PAGANI,3.6355027201289545,3.0,68,4963,1876,751,198
PALAGIANO CHIATONA,1.2458233890214798,0.0,5,419,72,48,24
PALAZZOLO,1.232849604221636,1.0,28,1516,135,54,11
PALAZZOLO SULL`OGLIO,3.262401352874859,2.0,47,3548,1268,680,133
PALESTRO,3.7155172413793105,2.0,20,928,300,126,48
PALIDANO,3.9988198269079467,2.0,32,2542,798,399,153
PALMANOVA,1.7538461538461538,1.0,28,1820,311,130,35
PALMI,1.746964856230032,1.0,54,3130,458,269,101
PASSIGNANO SUL TRASIMENO,3.6908235294117646,3.0,31,2125,849,501,116
PAVIA,3.499895608601851,2.0,206,14369,5381,3270,1028
PAVONA,3.2471169686985175,2.0,83,3642,1155,587,146
PEGOGNAGA,2.248407643312102,0.0,14,785,113,79,49
PELLEZZANO,2.509491733006736,2.0,32,1633,515,272,62
PERCA,0.49923664122137407,0.0,10,655,25,11,6
PERI,5.519731318219983,4.0,35,2382,1340,938,332
PERUGIA CAPITINI,3.9612403100775193,4.0,9,645,327,166,26
PESCARA,2.4074583906895257,1.0,123,7991,2062,1303,716
PIANCAMUNO - GRATACASOLO,0.006607929515418502,0.0,21,908,0,0,0
PIAZZA AL SERCHIO,0.9940174873446848,1.0,35,2173,343,152,30
PIETRARSA,12.08695652173913,10.0,19,23,17,14,10
PIEVE SALICETO,4.0,4.0,1,1,1,0,0
PIOLTELLO LIMITO,2.772346443246705,2.0,270,18739,5566,3272,1033
PIOMBINO DESE,1.3667992047713717,1.0,70,5030,681,274,80
PIONA,3.521262002743484,2.0,28,2187,747,469,170
PIOPPE DI SALVARO,2.1719690455717973,2.0,48,3489,617,222,45
PISTOIA,1.4683763146520674,1.0,112,6941,1263,704,255
PM BOSCO,2.9111747851002865,2.0,7,349,91,46,11
PM Cervaro,22.0,22.0,1,1,1,1,1
PM Orciano,12.0,12.0,1,1,1,1,1
POGGIO RUSCO,1.7103225806451612,1.0,74,4650,1302,764,279
POLESELLA,2.934566145092461,2.0,10,703,182,86,29
POLIGNANO A MARE,2.8367133598160152,2.0,99,4783,1140,636,252
POMPEI,2.142994611239415,1.0,71,5196,1182,545,188
PONTE CASALDUNI,3.1798616448885473,1.0,24,1301,439,330,127
PONTE DI PIAVE,0.94625,0.0,23,1600,142,73,21
PONTE D`ADIGE,1.7093784078516903,1.0,50,3668,897,341,36
PONTE GALERIA,2.1443961052413507,2.0,158,9654,1565,494,126
PONTE IN VALTELLINA,1.9285714285714286,1.0,13,462,67,39,12
PONTEBBA,0.9488,1.0,19,625,63,26,10
PONTELAMBRO - CASTELMARTE,0.009375,0.0,32,2240,0,0,0
PONTICINO,3.442191283292978,3.0,56,3304,1199,563,156
PONTIDA,4.152070355441554,3.0,32,2729,1118,579,118
POPOLANO,5.086666666666667,4.0,2,150,95,49,5
PORDENONE,0.8200072358900145,-1.0,91,5528,737,432,164
PORTICHETTO - LUISAGO,0.0008839779005524862,0.0,61,4525,0,0,0
PORTICI- ERCOLANO,1.3825539568345324,1.0,84,5560,781,406,157
PORTO CERESIO,3.039438502673797,2.0,33,1496,432,254,108
PORTO RECANATI,9.5,6.0,6,6,5,4,2
PORTO S. ELPIDIO,3.2079479273723877,2.0,55,2919,922,585,168
PORTOMAGGIORE,1.9686021505376343,1.0,36,2325,421,173,68
POSSIDENTE,3.391852162956741,2.0,35,2381,686,347,79
POTENZA MACCHIA ROMANA,3.425392670157068,3.0,34,2292,642,188,56
POTENZA PICENA MONTELUPONE,7.444444444444445,9.0,8,9,8,6,1
POZZALLO,2.42534504391468,1.0,14,797,180,104,47
POZZUOLI SOLFATARA,0.7083378044854598,1.0,115,9319,893,357,97
POZZUOLO MARTESANA,6.5,3.0,6,6,2,2,2
PRATA CAMPORTACCIO,1.6671887235708693,1.0,33,2554,374,163,48
PRATO PORTA AL SERRAGLIO,8.0,11.0,5,5,4,3,3
PRATOLA PELIGNA,0.5357590966122961,0.0,41,2391,183,81,27
PROVAGLIO - TIMOLINE,0.003401360544217687,0.0,36,1764,0,0,0
PUNTA RAISI,0.9279675346635103,1.0,56,2957,198,38,11
QUARTESANA,0.18556701030927836,0.0,18,970,72,41,16
QUARTO D`ALTINO,2.3579414666228216,1.0,80,6082,1283,594,172
QUILIANO VADO,8.0,8.0,1,1,1,1,0
QUISTELLO,2.965473145780051,1.0,14,782,205,120,49
RASTIGNANO,1.926984126984127,1.0,72,3465,494,241,71
REGGIO CALABRIA CENTRALE,0.03925692253767964,-2.0,87,5706,623,424,255
REGGIO CALABRIA LIDO,2.2222222222222223,2.0,9,9,2,0,0
REGGIO EMILIA,4.323751628310899,2.0,185,11515,4482,3053,1241
REGGIO MEDIOPADANA,1.9243840271877655,1.0,26,1177,186,97,28
RHO FIERA MILANO,3.267579340385812,2.0,409,25712,9248,4830,1253
RICCIONE,2.7329168293635298,1.0,81,5122,1308,903,431
RIDOTTI-COLLEPIANO,1.5,0.0,5,6,1,1,0
RIGNANO SULL`ARNO REGGELLO,2.0863905325443786,1.0,84,5070,1237,649,173
RIMINI VISERBA,2.096931137724551,1.0,49,2672,360,259,160
RIVA TRIGOSO,3.195477536447486,2.0,53,3361,1030,686,207
ROCCELLA JONICA,3.1893791487700116,2.0,41,2561,912,597,211
ROMA MONTE MARIO,1.4991338241663057,1.0,154,9236,1021,377,97
ROMA OSTIENSE,0.4994543186778921,-1.0,405,25656,2927,1286,479
ROMA PRENESTINA,0.24081401921989826,0.0,85,5307,330,193,72
ROMA S.PIETRO,0.8083102493074792,0.0,294,18050,2022,835,277
ROMA TERMINI,2.0093766044261896,0.0,571,37007,7435,4762,2382
ROMA TIBURTINA,1.0650672769601073,-1.0,398,25343,4541,2997,1413
ROMA TIBURTINA PIAZZALE EST,-0.6885662431941924,-1.0,44,2755,111,59,31
ROMAGNANO V.,4.0979020979020975,3.0,2,143,57,37,15
RONCHI DEI LEGIONARI NORD,1.492371705963939,1.0,47,2163,371,179,56
ROSARNO,2.91385694796336,1.0,86,5131,1022,717,346
ROSTA,5.066666666666666,3.0,13,15,7,5,2
ROVASENDA,2.18576017130621,1.0,44,1868,315,156,33
ROVATO,2.151050788091068,1.0,121,9136,2028,1173,455
ROVERBELLA,2.2395833333333335,1.0,30,2112,473,226,87
ROVERETO,4.042994910259845,3.0,118,7466,3060,1913,665
ROVIGO,0.547372249499909,-1.0,79,5499,976,639,290
RUFINA,2.7257942511346447,2.0,45,2644,906,464,85
S. ANTONINO VAIE,1.0733665559246954,0.0,63,3612,431,228,69
S. GERMANO VERCELLESE,2.5479586817511066,1.0,34,2033,407,203,62
S. GIULIANO MILANESE,0.7469670710571924,-1.0,100,3462,504,260,67
S. MARGHERITA LIGURE PORTOFINO,2.846239554317549,1.0,129,7180,2106,1327,460
S.AGATA SUL SANTERNO,4.946666666666666,3.0,4,300,143,87,37
S.ALESSIO SICULO FORZA D`AGRO`,3.6879643387815753,2.0,33,2019,658,422,135
S.BIAGIO,3.705237515225335,2.0,11,821,304,131,27
S.DONNINO BADIA,6.363636363636363,6.0,9,22,20,12,2
S.GIORGIO DELLE PERTICHE,6.0,4.0,3,3,2,1,1
S.GIOVANNI AL NATISONE,1.1979071883530483,0.0,47,2198,305,158,44
S.GIULIANO PIEMONTE,1.794280442804428,1.0,24,1084,171,75,22
S.GIUSTINA CESIO,0.572947681837516,0.0,74,2351,125,53,22
S.MARIA LA BRUNA,1.8333333333333333,1.0,78,5076,862,423,160
S.MARINO,2.336,2.0,15,1125,190,64,13
S.ROMANO MONTOPOLI S.CROCE,2.6175516822051073,2.0,84,4934,1249,667,175
S.TROVASO,8.923076923076923,8.0,11,13,11,8,3
SAGRADO,2.2823110624315444,1.0,66,3652,644,331,107
SALE LANGHE,0.36872427983539097,0.0,17,1215,62,35,16
SALERNO IRNO,2.3333333333333335,1.0,2,3,1,1,0
SALSOMAGGIORE T.,0.21990369181380418,0.0,24,1869,37,6,4
SALUSSOLA,0.5736981465136805,0.0,44,2266,73,48,19
SAMOLACO,1.52578125,1.0,33,2560,398,170,48
SAN BENEDETTO SAMBRO-CAST.PEPOLI,1.591549295774648,1.0,50,2911,463,230,72
SAN BONIFACIO,3.3409693297993184,2.0,97,5282,1680,927,352
SAN GIOVANNI IN PERSICETO,2.8984282907662084,2.0,87,5090,1795,1011,352
SAN GIUSEPPE DI CAIRO,0.052027748132337244,-1.0,52,3748,285,192,99
SAN SEVERO,3.2134831460674156,1.0,30,1780,580,423,200
SANGIANO,5.634057971014493,4.0,32,2208,1287,679,179
SANGUINETTO,1.7142857142857142,1.0,23,1351,230,112,39
SANTA SEVERA,1.6583533653846154,1.0,49,3328,507,213,43
SANTARCANGELO DI ROMAGNA,1.8533387955755838,1.0,39,2441,500,284,102
SARNO,4.4094827586206895,3.0,33,2088,884,565,169
SARONNO,0.034383831463560846,0.0,361,23354,442,169,38
SARONNO SUD,0.3198674310283053,0.0,150,11164,519,209,61
SCAFA S.VALENTINO CARAMANICO T,0.31183641368462445,0.0,43,2543,163,87,40
SCALEA S.DOMENICA TALAO,6.20058910162003,3.0,62,3395,1464,1054,532
SCALETTA ZANCLEA,3.48493543758967,2.0,52,2091,570,353,124
SCANZANO J. MONTALBANO J.,0.0,-2.0,1,6,1,1,0
SCORDIA,2.6285714285714286,1.0,8,280,78,41,17
SEREGNO,2.648940732481345,1.0,209,11659,2922,1659,533
SERENISSIMA,0.09984739481142359,-1.0,71,4587,290,170,71
SERRA S.QUIRICO,2.048135913166588,1.0,33,2119,522,234,59
SESSA AURUNCA R.,3.5940971120279275,2.0,67,3151,1018,739,320
SESTO CALENDE,3.447279730380356,2.0,97,4154,1432,882,268
SESTO FIORENTINO,1.3381818181818181,1.0,23,1100,176,105,36
SESTO S. GIOVANNI,2.978451638065523,2.0,327,20512,6418,3609,1081
SETTE BAGNI,1.6419155509783727,1.0,165,9710,817,354,97
SEVESO,0.04622445634356901,0.0,155,9151,45,18,0
SEZZE ROMANO,2.4335081029551953,1.0,85,4196,1042,657,245
SFERRO,17.8,4.0,3,5,3,2,2
SILLA,2.6823799942512214,2.0,48,3479,952,389,49
SILVI,2.368332934704616,1.0,68,4181,980,605,166
SOLARUSSA,1.019830028328612,0.0,9,353,31,21,12
SOLERO,1.8442776735459663,1.0,21,1066,195,79,20
SOMMARIVA BOSCO,1.7437112650382793,0.0,38,2743,483,231,52
SORA,1.8596750369276218,1.0,14,677,165,78,34
SORESINA,4.575191730576859,2.0,44,2999,1216,809,329
SORGENTI DEL PESCHIERA,7.2300319488817895,7.0,6,313,275,208,38
SOVERATO,3.4859632139399808,2.0,33,2066,749,405,151
SPAGNUOLA,8.75,0.0,4,4,2,2,2
SPARANISE,2.552982456140351,1.0,48,2850,687,387,136
SPOTORNO NOLI,3.275751601774273,2.0,68,4058,1264,776,228
STANGHELLA,3.3816293056314928,3.0,29,1829,673,333,60
STELLATA FICAROLO,1.0,0.0,1,2,0,0,0
STEZZANO,12.666666666666666,12.0,3,3,3,2,2
STIMIGLIANO,1.2980700500357398,1.0,58,2798,240,101,38
STRONGOLI,4.242335766423357,4.0,20,1370,704,434,97
SULMONA,-0.3727735368956743,-1.0,51,2358,166,86,34
SULZANO,0.0029910269192422734,0.0,24,1003,0,0,0
SUNO,3.673202614379085,2.0,7,459,156,80,30
SUSA,-0.0503448275862069,-1.0,18,1450,112,57,16
SUSEGANA,14.875,16.0,7,8,7,6,6
Sferracavallo,12.0,12.0,2,2,2,2,2
TAGGIA ARMA,3.2057547385247775,2.0,74,4379,1334,782,263
TAGLIACOZZO,1.50287631831256,0.0,34,2086,339,206,78
TALAMONE,6.5625,4.0,9,16,9,6,4
TARCENTO,0.9985724482512491,0.0,23,1401,117,58,19
TARGIA,3.526315789473684,2.0,2,57,11,8,4
TARQUINIA,1.5444822557122022,0.0,31,2057,328,192,79
TERME VIGLIATORE,9.6,9.0,5,5,5,5,1
TERMOLI,4.203146563621308,1.0,54,3623,1321,991,570
TERNO,5.749189507810198,5.0,40,3393,2246,1425,309
TERRENOVE,0.6666666666666666,0.0,2,3,0,0,0
TIRANO,2.161977834612106,-1.0,25,1173,230,161,108
TOR VERGATA,3.1918230187622516,2.0,63,3571,998,411,103
TORA PRESENZANO,4.1307506053268765,3.0,28,1652,709,317,99
TORRE DEI PASSERI,0.48076144187930336,0.0,42,2469,169,80,38
TORRILE S. POLO,2.184757505773672,1.0,33,2598,495,270,133
TORRITA DI SIENA,3.8239795918367347,3.0,38,1960,848,347,62
TRANI,3.7380517106294073,2.0,151,7658,2467,1472,559
TREBASELEGHE,9.0,9.0,1,1,1,1,0
TRENTO S.CHIARA,2.6087981146897095,3.0,17,1273,287,71,19
TREVI,2.7067478437341452,1.0,32,1971,444,279,128
TREVIGNANO SIGNORESSA,3.5099800399201597,3.0,55,2004,821,239,29
TREVISO C.,0.9344722489573307,0.0,223,12468,1584,817,299
TRIVIGNO,1.338368580060423,0.0,4,331,60,32,11
TROMELLO,4.451020408163266,3.0,25,1960,791,342,97
TROPEA,2.642453591606134,1.0,26,1239,420,217,60
VAGLIA,1.6432015429122468,1.0,47,3111,598,323,95
VAIANO,1.266945925361767,1.0,45,2626,309,185,64
VALLE AURELIA,4.150980923967092,4.0,184,11061,6080,1643,210
VALLE LOMELLINA,2.8080593849416755,2.0,34,1886,530,286,72
VALLELUNGA,-0.09077380952380952,-1.0,11,672,61,33,12
VALMADRERA,2.0693129770992367,1.0,41,3275,710,381,121
VANZAGHELLO - MAGNAGO,0.0013703323055841042,0.0,64,2919,0,0,0
VARESE,2.2994234926735526,1.0,162,8326,1766,988,350
VASTO S.SALVO,3.4658667769962763,2.0,35,2417,667,436,191
VELLETRI,1.1030927835051547,-1.0,41,1843,225,118,74
VENEGONO INF.,0.0005991611743559018,0.0,61,3338,0,0,0
VENEZIA MESTRE,0.9382217516558737,0.0,646,40613,5155,2517,1068
VENZONE,3.0,3.0,1,1,0,0,0
VERBANIA-PALLANZA,2.2304857621440535,1.0,78,2985,683,419,193
